Date/Time,Receiver,Description,Data,Units
1970-01-01 00:03:02,VR2W-102202,Data Upload,VR2W_102202_20160529_1.vrl,
1970-01-01 00:03:02,VR2W-102202,Memory Capacity,0.5,%
1970-01-01 00:03:02,VR2W-102202,PC Time,2016-05-29 01:25:41 UTC+01:00,
1970-01-01 00:03:02,VR2W-102202,Study Pings on 69 kHz,77869,
1970-01-01 00:03:56,VR2W-102202,Data Upload,VR2W_102202_20160529_2.vrl,
1970-01-01 00:03:56,VR2W-102202,Memory Capacity,0.5,%
1970-01-01 00:03:56,VR2W-102202,PC Time,2016-05-29 01:26:35 UTC+01:00,
1970-01-01 00:03:56,VR2W-102202,Study Pings on 69 kHz,77902,
2011-08-02 21:57:02,VR2W-102202,Initialization,,
2011-08-02 21:57:02,VR2W-102202,PC Time,2011-08-02 11:57:02 UTC-10:00,
2011-08-02 21:57:02,VR2W-102202,Map,MAP-112 (A69-1105; A69-1206; A69-1303; A69-9005; A69-9001/9002; A69-9004; A69-1601),
2011-08-02 21:57:02,VR2W-102202,Blanking,260,ms
2011-08-02 21:57:02,VR2W-102202,Station,Powerplant,
2011-08-03 00:00:00,VR2W-102202,Memory Capacity,0.0,%
2011-08-03 00:00:00,VR2W-102202,Battery,3.7,V
2011-08-03 00:00:00,VR2W-102202,Daily Pings,0,
2011-08-03 00:00:00,VR2W-102202,Daily Syncs,0,
2011-08-03 00:00:00,VR2W-102202,Daily Rejects,0,
2011-08-04 00:00:00,VR2W-102202,Memory Capacity,0.0,%
2011-08-04 00:00:00,VR2W-102202,Battery,3.6,V
2011-08-04 00:00:00,VR2W-102202,Daily Pings,2,
2011-08-04 00:00:00,VR2W-102202,Daily Syncs,0,
2011-08-04 00:00:00,VR2W-102202,Daily Rejects,0,
2011-08-05 00:00:00,VR2W-102202,Memory Capacity,0.0,%
2011-08-05 00:00:00,VR2W-102202,Battery,3.7,V
2011-08-05 00:00:00,VR2W-102202,Daily Pings,0,
2011-08-05 00:00:00,VR2W-102202,Daily Syncs,0,
2011-08-05 00:00:00,VR2W-102202,Daily Rejects,0,
2011-08-06 00:00:00,VR2W-102202,Memory Capacity,0.0,%
2011-08-06 00:00:00,VR2W-102202,Battery,3.7,V
2011-08-06 00:00:00,VR2W-102202,Daily Pings,0,
2011-08-06 00:00:00,VR2W-102202,Daily Syncs,0,
2011-08-06 00:00:00,VR2W-102202,Daily Rejects,0,
2011-08-07 00:00:00,VR2W-102202,Memory Capacity,0.0,%
2011-08-07 00:00:00,VR2W-102202,Battery,3.7,V
2011-08-07 00:00:00,VR2W-102202,Daily Pings,0,
2011-08-07 00:00:00,VR2W-102202,Daily Syncs,0,
2011-08-07 00:00:00,VR2W-102202,Daily Rejects,0,
2011-08-08 00:00:00,VR2W-102202,Memory Capacity,0.0,%
2011-08-08 00:00:00,VR2W-102202,Battery,3.7,V
2011-08-08 00:00:00,VR2W-102202,Daily Pings,0,
2011-08-08 00:00:00,VR2W-102202,Daily Syncs,0,
2011-08-08 00:00:00,VR2W-102202,Daily Rejects,0,
2011-08-09 00:00:00,VR2W-102202,Memory Capacity,0.0,%
2011-08-09 00:00:00,VR2W-102202,Battery,3.7,V
