Date/Time,Receiver,Description,Data,Units
2012-04-26 01:36:55,VR2W-110317,Initialization,Production Screening Config: 5/12/2010 ,
2012-04-26 01:36:55,VR2W-110317,PC Time,2012-04-26 01:36:55 UTC-10:00,
2012-04-26 01:36:55,VR2W-110317,69 kHz decoding map,MAP-112 (A69-1105; A69-1206; A69-1303; A69-9005; A69-9001/9002; A69-9004; A69-1601),
2012-04-26 01:36:55,VR2W-110317,69 kHz blanking interval,260,ms
2012-04-27 00:00:00,VR2W-110317,Memory Capacity,0.0,%
2012-04-27 00:00:00,VR2W-110317,Battery,3.5,V
2012-04-27 00:00:00,VR2W-110317,Daily Pings on 69 kHz,0,
2012-04-27 00:00:00,VR2W-110317,Daily Syncs on 69 kHz,0,
2012-04-27 00:00:00,VR2W-110317,Daily Rejects on 69 kHz,0,
2012-04-28 00:00:00,VR2W-110317,Memory Capacity,0.0,%
2012-04-28 00:00:00,VR2W-110317,Battery,3.5,V
2012-04-28 00:00:00,VR2W-110317,Daily Pings on 69 kHz,0,
2012-04-28 00:00:00,VR2W-110317,Daily Syncs on 69 kHz,0,
2012-04-28 00:00:00,VR2W-110317,Daily Rejects on 69 kHz,0,
2012-04-29 00:00:00,VR2W-110317,Memory Capacity,0.0,%
2012-04-29 00:00:00,VR2W-110317,Battery,3.5,V
2012-04-29 00:00:00,VR2W-110317,Daily Pings on 69 kHz,0,
2012-04-29 00:00:00,VR2W-110317,Daily Syncs on 69 kHz,0,
2012-04-29 00:00:00,VR2W-110317,Daily Rejects on 69 kHz,0,
2012-04-30 00:00:00,VR2W-110317,Memory Capacity,0.0,%
2012-04-30 00:00:00,VR2W-110317,Battery,3.5,V
2012-04-30 00:00:00,VR2W-110317,Daily Pings on 69 kHz,0,
2012-04-30 00:00:00,VR2W-110317,Daily Syncs on 69 kHz,0,
2012-04-30 00:00:00,VR2W-110317,Daily Rejects on 69 kHz,0,
2012-05-01 00:00:00,VR2W-110317,Memory Capacity,0.0,%
2012-05-01 00:00:00,VR2W-110317,Battery,3.5,V
2012-05-01 00:00:00,VR2W-110317,Daily Pings on 69 kHz,0,
2012-05-01 00:00:00,VR2W-110317,Daily Syncs on 69 kHz,0,
2012-05-01 00:00:00,VR2W-110317,Daily Rejects on 69 kHz,0,
2012-05-02 00:00:00,VR2W-110317,Memory Capacity,0.0,%
2012-05-02 00:00:00,VR2W-110317,Battery,3.5,V
2012-05-02 00:00:00,VR2W-110317,Daily Pings on 69 kHz,0,
2012-05-02 00:00:00,VR2W-110317,Daily Syncs on 69 kHz,0,
2012-05-02 00:00:00,VR2W-110317,Daily Rejects on 69 kHz,0,
2012-05-03 00:00:00,VR2W-110317,Memory Capacity,0.0,%
2012-05-03 00:00:00,VR2W-110317,Battery,3.5,V
2012-05-03 00:00:00,VR2W-110317,Daily Pings on 69 kHz,0,
2012-05-03 00:00:00,VR2W-110317,Daily Syncs on 69 kHz,0,
2012-05-03 00:00:00,VR2W-110317,Daily Rejects on 69 kHz,0,
2012-05-04 00:00:00,VR2W-110317,Memory Capacity,0.0,%
2012-05-04 00:00:00,VR2W-110317,Battery,3.5,V
2012-05-04 00:00:00,VR2W-110317,Daily Pings on 69 kHz,0,
2012-05-04 00:00:00,VR2W-110317,Daily Syncs on 69 kHz,0,
2012-05-04 00:00:00,VR2W-110317,Daily Rejects on 69 kHz,0,
