Date/Time,Receiver,Description,Data,Units
2015-01-17 22:45:09,VR2W-123739,Initialization,,
2015-01-17 22:45:09,VR2W-123739,PC Time,2015-01-17 22:45:09 UTC,
2015-01-17 22:45:09,VR2W-123739,69 kHz decoding map,MAP-113 (A69-1105; A69-1303; A69-9001/9002; A69-9004; A69-9006; A69-1601; A69-1602),
2015-01-17 22:45:09,VR2W-123739,69 kHz blanking interval,260,ms
2015-01-18 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-18 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-18 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-01-18 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-01-18 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-01-19 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-19 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-19 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-01-19 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-01-19 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-01-20 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-20 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-20 00:00:00,VR2W-123739,Daily Pings on 69 kHz,1196,
2015-01-20 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,132,
2015-01-20 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,3,
2015-01-20 00:00:00,VR2W-123739,Daily Detections on A69-1601,49,
2015-01-20 00:00:00,VR2W-123739,Daily Detections on A69-1303,16,
2015-01-20 00:00:00,VR2W-123739,Daily Detections on A69-1105,20,
2015-01-21 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-21 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-21 00:00:00,VR2W-123739,Daily Pings on 69 kHz,627,
2015-01-21 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,87,
2015-01-21 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,1,
2015-01-21 00:00:00,VR2W-123739,Daily Detections on A69-1303,26,
2015-01-21 00:00:00,VR2W-123739,Daily Detections on A69-1105,21,
2015-01-22 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-22 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-22 00:00:00,VR2W-123739,Daily Pings on 69 kHz,146,
2015-01-22 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,24,
2015-01-22 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-01-22 00:00:00,VR2W-123739,Daily Detections on A69-1303,4,
2015-01-22 00:00:00,VR2W-123739,Daily Detections on A69-1105,4,
2015-01-23 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-23 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-23 00:00:00,VR2W-123739,Daily Pings on 69 kHz,1,
2015-01-23 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-01-23 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-01-24 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-24 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-24 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-01-24 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-01-24 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-01-25 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-25 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-25 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-01-25 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-01-25 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-01-26 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-26 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-26 00:00:00,VR2W-123739,Daily Pings on 69 kHz,1,
2015-01-26 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-01-26 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-01-27 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-27 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-27 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-01-27 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-01-27 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-01-28 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-28 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-28 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-01-28 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-01-28 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-01-29 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-29 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-29 00:00:00,VR2W-123739,Daily Pings on 69 kHz,32,
2015-01-29 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,3,
2015-01-29 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-01-30 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-30 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-30 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-01-30 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-01-30 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-01-31 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-01-31 00:00:00,VR2W-123739,Battery,3.6,V
2015-01-31 00:00:00,VR2W-123739,Daily Pings on 69 kHz,52,
2015-01-31 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,5,
2015-01-31 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-01-31 00:00:00,VR2W-123739,Daily Detections on A69-9001/9002,4,
2015-02-01 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-02-01 00:00:00,VR2W-123739,Battery,3.6,V
2015-02-01 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-02-01 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-02-01 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-02-02 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-02-02 00:00:00,VR2W-123739,Battery,3.6,V
2015-02-02 00:00:00,VR2W-123739,Daily Pings on 69 kHz,320,
2015-02-02 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,43,
2015-02-02 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-02-02 00:00:00,VR2W-123739,Daily Detections on A69-1303,13,
2015-02-02 00:00:00,VR2W-123739,Daily Detections on A69-1105,14,
2015-02-03 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-02-03 00:00:00,VR2W-123739,Battery,3.6,V
2015-02-03 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-02-03 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-02-03 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-02-04 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-02-04 00:00:00,VR2W-123739,Battery,3.6,V
2015-02-04 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-02-04 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-02-04 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-02-05 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-02-05 00:00:00,VR2W-123739,Battery,3.6,V
2015-02-05 00:00:00,VR2W-123739,Daily Pings on 69 kHz,46,
2015-02-05 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,5,
2015-02-05 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-02-05 00:00:00,VR2W-123739,Daily Detections on A69-9001/9002,2,
2015-02-06 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-02-06 00:00:00,VR2W-123739,Battery,3.6,V
2015-02-06 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-02-06 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-02-06 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-02-07 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-02-07 00:00:00,VR2W-123739,Battery,3.6,V
2015-02-07 00:00:00,VR2W-123739,Daily Pings on 69 kHz,160,
2015-02-07 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,20,
2015-02-07 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-02-07 00:00:00,VR2W-123739,Daily Detections on A69-1303,7,
2015-02-07 00:00:00,VR2W-123739,Daily Detections on A69-1105,7,
2015-02-08 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-02-08 00:00:00,VR2W-123739,Battery,3.6,V
2015-02-08 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-02-08 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-02-08 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-02-09 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-02-09 00:00:00,VR2W-123739,Battery,3.6,V
2015-02-09 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-02-09 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-02-09 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-02-10 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-02-10 00:00:00,VR2W-123739,Battery,3.6,V
2015-02-10 00:00:00,VR2W-123739,Daily Pings on 69 kHz,0,
2015-02-10 00:00:00,VR2W-123739,Daily Syncs on 69 kHz,0,
2015-02-10 00:00:00,VR2W-123739,Daily Rejects on 69 kHz,0,
2015-02-11 00:00:00,VR2W-123739,Memory Capacity,0.0,%
2015-02-11 00:00:00,VR2W-123739,Battery,3.6,V
2015-02-11 00:00:00,VR2W-123739,Daily Pings on 69 kHz,16,
