"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",4.1949581032301,0.849864836534781,4.93602973425107,7.97289571096157e-07
"cpdi_predictionmultipath_cpdi_predicted",-7.62025149677691,0.879021396546255,-8.6690170759409,4.35866599969668e-18
"cpdi_predictionmultipath_no_cpdi_predicted",0.732410593958116,0.88845900301491,0.824360596800463,0.409734696797099
"experiment_analgoue1b",2.36233569708747e-15,0.859248596707571,2.74930410842609e-15,0.999999999999998
"experiment_analgoue2a",-1.86479600706218,1.04237252398298,-1.78899190467595,0.07361611930147
"experiment_analgoue2b",15.0540377168175,1376.9490766401,0.0109328935776993,0.991276986784089
"experiment_analgoue2c",-1.13238541310407,1.15334040430859,-0.981831043873739,0.326183091597412
"experiment_analgoue3a",-22.3420046169487,2365.06133225255,-0.00944669142921107,0.992462742862242
"experiment_analgoue3b",-4.60178337438509,1.24630707234528,-3.69233512069022,0.000222204397156479
"experiment_analgoue4a",-0.384832354841644,2.2607344267539,-0.170224485586398,0.864833596017883
"experiment_analgoue4b",-0.384832354841645,2.2607344267539,-0.170224485586399,0.864833596017882
